Gene_Names,Gene_ID,Avg_Count
AL845320.1,LL0000000625,0
AL845320.2,LL0000000626,0
AL845324.1,LL0000000627,5
AL845324.2,LL0000000628,0
AL845330.1,LL0000000629,0
AL845357.1,LL0000000630,0
AL845362.1,LL0000000631,4
AL845365.1,LL0000000632,0
AL845369.1,LL0000000633,0
AL845369.2,LL0000000634,0
AL845419.1,LL0000000635,1
AL845428.1,LL0000000636,0
AL845428.2,LL0000000637,0
AL845428.3,LL0000000638,0
AL845435.1,LL0000000639,0
AL845550.1,LL0000000640,0
AL928650.1,LL0000000641,0
AL928650.2,LL0000000642,9
AL928650.3,LL0000000643,28
AL928650.4,LL0000000644,293
AL928657.1,LL0000000645,18
AL928657.2,LL0000000646,0
AL928685.1,LL0000000647,0
AL928685.2,LL0000000648,29
AL928685.3,LL0000000649,2
AL928685.4,LL0000000650,0
AL928707.1,LL0000000651,0
AL928707.2,LL0000000652,0
AL928707.3,LL0000000653,0
AL928714.1,LL0000000654,3
AL928716.1,LL0000000655,0
AL928724.1,LL0000000656,1
AL928725.1,LL0000000657,0
AL928808.1,LL0000000658,4
AL928824.1,LL0000000659,12
AL928824.2,LL0000000660,2
AL928824.3,LL0000000661,1
AL928835.1,LL0000000662,1
AL928845.1,LL0000000663,0
AL928851.1,LL0000000664,0
AL928854.1,LL0000000665,4
AL928866.1,LL0000000666,0
AL928866.2,LL0000000667,0
AL928870.1,LL0000000668,0
AL928875.1,LL0000000669,0
AL928881.1,LL0000000670,0
AL928908.1,LL0000000671,0
AL928908.2,LL0000000672,0
AL928908.3,LL0000000673,69
AL928920.1,LL0000000674,0
AL928920.2,LL0000000675,0
AL928920.3,LL0000000676,0
AL928920.4,LL0000000677,0
AL928927.1,LL0000000678,0
AL928951.1,LL0000000679,0
AL928977.1,LL0000000680,0
AL929009.1,LL0000000681,4
AL929009.2,LL0000000682,0
AL929017.1,LL0000000683,15
AL929017.2,LL0000000684,0
AL929023.1,LL0000000685,0
AL929028.1,LL0000000686,70
AL929032.1,LL0000000687,0
AL929048.1,LL0000000688,30
AL929058.1,LL0000000689,0
AL929092.1,LL0000000690,0
AL929105.1,LL0000000691,0
AL929114.1,LL0000000692,0
AL929114.2,LL0000000693,6
AL929171.1,LL0000000694,0
AL929182.1,LL0000000695,6
AL929192.1,LL0000000696,0
AL929208.1,LL0000000697,0
AL929210.1,LL0000000698,17
AL929210.2,LL0000000699,22
AL929216.1,LL0000000700,0
AL929217.1,LL0000000701,0
AL929220.1,LL0000000702,1
AL929222.1,LL0000000703,0
AL929222.2,LL0000000704,36
AL929229.1,LL0000000705,0
AL929237.1,LL0000000706,17
AL929237.3,LL0000000707,0
AL929237.4,LL0000000708,0
AL929243.1,LL0000000709,31
AL929266.1,LL0000000710,0
AL929276.1,LL0000000711,0
AL929276.2,LL0000000712,0
AL929294.1,LL0000000713,0
AL929304.1,LL0000000714,1
AL929305.1,LL0000000715,0
AL929307.1,LL0000000716,0
AL929309.1,LL0000000717,0
AL929315.1,LL0000000718,0
AL929321.1,LL0000000719,0
AL929321.2,LL0000000720,0
AL929321.3,LL0000000721,0
AL929321.4,LL0000000722,0
AL929334.1,LL0000000723,0
AL929345.1,LL0000000724,0
AL929349.1,LL0000000725,0
AL929378.1,LL0000000726,0
AL929396.1,LL0000000727,0
AL929435.1,LL0000000728,429
AL929435.2,LL0000000729,0
AL929453.1,LL0000000730,0
AL929457.1,LL0000000731,1
AL929457.2,LL0000000732,0
AL929493.1,LL0000000733,0
AL929493.2,LL0000000734,1
AL929520.1,LL0000000735,0
AL929520.2,LL0000000736,0
AL929520.3,LL0000000737,0
AL929523.1,LL0000000738,0
AL929536.3,LL0000000739,9
AL929536.5,LL0000000740,8
AL929536.6,LL0000000741,0
AL929576.1,LL0000000742,14
AL929586.1,LL0000000743,0
AL935044.1,LL0000000744,0
AL935044.2,LL0000000745,3
AL935044.3,LL0000000746,4
AL935044.4,LL0000000747,0
AL935053.1,LL0000000748,2
AL935065.1,LL0000000749,4
AL935115.1,LL0000000750,0
AL935117.1,LL0000000751,0
AL935126.1,LL0000000752,0
AL935126.2,LL0000000753,5
AL935144.1,LL0000000754,0
AL935145.1,LL0000000755,0
AL935145.2,LL0000000756,0
AL935153.1,LL0000000757,23
AL935166.1,LL0000000758,0
AL935174.2,LL0000000759,934
AL935174.3,LL0000000760,1
AL935174.5,LL0000000761,838
AL935183.1,LL0000000762,0
AL935184.1,LL0000000763,2
AL935184.2,LL0000000764,2
AL935186.1,LL0000000765,10
AL935186.2,LL0000000766,0
AL935186.6,LL0000000767,63
AL935186.9,LL0000000768,74
AL935195.1,LL0000000769,0
AL935198.1,LL0000000770,0
AL935198.2,LL0000000771,1
AL935199.1,LL0000000772,0
AL935269.1,LL0000000773,2
AL935279.1,LL0000000774,0
AL935292.1,LL0000000775,0
AL935294.1,LL0000000776,0
AL935294.2,LL0000000777,4
