Gene_Names,Gene_ID,Avg_Count
AL929017.2,LL0000000684,0
AL929023.1,LL0000000685,0
AL929028.1,LL0000000686,53
AL929032.1,LL0000000687,0
AL929048.1,LL0000000688,2
AL929058.1,LL0000000689,0
AL929092.1,LL0000000690,0
AL929105.1,LL0000000691,0
AL929114.1,LL0000000692,1
AL929114.2,LL0000000693,24
AL929171.1,LL0000000694,0
AL929182.1,LL0000000695,1
AL929192.1,LL0000000696,0
AL929208.1,LL0000000697,0
AL929210.1,LL0000000698,5
AL929210.2,LL0000000699,24
AL929216.1,LL0000000700,0
AL929217.1,LL0000000701,0
AL929220.1,LL0000000702,1
AL929222.1,LL0000000703,0
AL929222.2,LL0000000704,496
AL929229.1,LL0000000705,0
AL929237.1,LL0000000706,4
AL929237.3,LL0000000707,3
AL929237.4,LL0000000708,0
AL929243.1,LL0000000709,43
AL929266.1,LL0000000710,0
AL929276.1,LL0000000711,4
AL929276.2,LL0000000712,0
AL929294.1,LL0000000713,0
AL929304.1,LL0000000714,0
AL929305.1,LL0000000715,0
AL929307.1,LL0000000716,0
AL929309.1,LL0000000717,0
AL929315.1,LL0000000718,0
AL929321.1,LL0000000719,0
AL929321.2,LL0000000720,0
AL929321.3,LL0000000721,0
AL929321.4,LL0000000722,0
AL929334.1,LL0000000723,0
AL929345.1,LL0000000724,0
AL929349.1,LL0000000725,0
AL929378.1,LL0000000726,0
AL929396.1,LL0000000727,0
AL929435.1,LL0000000728,244
AL929435.2,LL0000000729,0
AL929453.1,LL0000000730,0
AL929457.1,LL0000000731,0
AL929457.2,LL0000000732,0
AL929493.1,LL0000000733,0
AL929493.2,LL0000000734,0
AL929520.1,LL0000000735,0
AL929520.2,LL0000000736,0
AL929520.3,LL0000000737,0
AL929523.1,LL0000000738,0
AL929536.3,LL0000000739,13
AL929536.5,LL0000000740,5
AL929536.6,LL0000000741,0
AL929576.1,LL0000000742,11
AL929586.1,LL0000000743,1
AL935044.1,LL0000000744,0
AL935044.2,LL0000000745,7
AL935044.3,LL0000000746,13
AL935044.4,LL0000000747,0
AL935053.1,LL0000000748,1
AL935065.1,LL0000000749,3
AL935115.1,LL0000000750,2
AL935117.1,LL0000000751,0
AL935126.1,LL0000000752,0
AL935126.2,LL0000000753,8
AL935144.1,LL0000000754,0
AL935145.1,LL0000000755,0
AL935145.2,LL0000000756,1
AL935153.1,LL0000000757,16
AL935166.1,LL0000000758,1
AL935174.2,LL0000000759,1194
AL935174.3,LL0000000760,10
AL935174.5,LL0000000761,1250
AL935183.1,LL0000000762,0
AL935184.1,LL0000000763,2
AL935184.2,LL0000000764,6
AL935186.1,LL0000000765,7
AL935186.2,LL0000000766,5
AL935186.6,LL0000000767,47
AL935186.9,LL0000000768,81
AL935195.1,LL0000000769,0
AL935198.1,LL0000000770,1
AL935198.2,LL0000000771,2
AL935199.1,LL0000000772,6
AL935269.1,LL0000000773,0
AL935279.1,LL0000000774,0
AL935292.1,LL0000000775,0
AL935294.1,LL0000000776,0
AL935294.2,LL0000000777,1
AL935295.1,LL0000000778,9
AL935295.2,LL0000000779,14
AL935299.1,LL0000000780,0
AL935300.1,LL0000000781,3
AL935300.2,LL0000000782,1
AL935300.3,LL0000000783,43
AL935303.1,LL0000000784,0
AL935322.1,LL0000000785,0
AL935334.1,LL0000000786,0
AL953841.1,LL0000000787,0
AL953841.2,LL0000000788,1
AL953848.2,LL0000000789,0
AL953855.1,LL0000000790,0
AL953858.1,LL0000000791,0
AL953865.1,LL0000000792,0
AL953866.1,LL0000000793,0
AL953867.1,LL0000000794,18
AL953867.2,LL0000000795,6
AL953875.1,LL0000000796,1
AL953886.1,LL0000000797,2
AL953886.2,LL0000000798,0
AL953893.1,LL0000000799,0
AL953894.1,LL0000000800,0
AL953896.1,LL0000000801,0
AL953903.1,LL0000000802,0
AL953903.2,LL0000000803,0
AL953903.3,LL0000000804,0
AL953907.1,LL0000000805,0
AL953907.2,LL0000000806,1
AL953910.1,LL0000000807,0
AL954129.1,LL0000000808,2
AL954134.1,LL0000000809,0
AL954134.2,LL0000000810,0
AL954137.1,LL0000000811,0
AL954137.2,LL0000000812,0
AL954138.1,LL0000000813,4
AL954142.1,LL0000000814,0
AL954142.2,LL0000000815,1
AL954142.3,LL0000000816,0
AL954145.1,LL0000000817,0
AL954145.2,LL0000000818,0
AL954146.1,LL0000000819,124
AL954149.1,LL0000000820,0
AL954149.2,LL0000000821,5
AL954187.1,LL0000000822,0
AL954191.1,LL0000000823,109
AL954317.1,LL0000000824,0
AL954320.1,LL0000000825,0
AL954322.2,LL0000000826,68
AL954322.3,LL0000000827,58
AL954327.1,LL0000000828,16
AL954359.1,LL0000000829,20
AL954361.1,LL0000000830,0
AL954387.1,LL0000000831,0
AL954655.1,LL0000000832,0
AL954655.2,LL0000000833,77
AL954666.1,LL0000000834,0
AL954669.1,LL0000000835,9
AL954672.1,LL0000000836,0
AL954682.1,LL0000000837,217
AL954694.1,LL0000000838,6
AL954694.2,LL0000000839,0
AL954695.1,LL0000000840,2
AL954695.2,LL0000000841,0
